buffer_size,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10
0.000512,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
0.008192,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
0.032768,1.181,1.18,1.18,1.181,1.181,1.18,1.18,1.18,1.181,1.18
0.04096,3.539,3.539,3.538,3.539,3.541,3.539,3.539,3.539,3.54,3.539
0.049152,3.539,3.539,3.538,3.539,3.539,3.539,3.539,3.54,3.539,3.539
0.065536,3.54,3.539,3.539,3.541,3.541,3.539,3.54,3.539,3.54,3.541
0.131072,3.542,3.542,3.541,3.542,3.542,3.541,3.54,3.645,3.542,3.542
0.262144,3.617,3.614,3.614,3.606,3.627,3.631,3.631,3.645,3.624,3.609
0.32768,5.579,5.428,5.374,5.948,5.465,6.078,5.689,5.443,5.118,5.665
0.393216,6.313,6.32,6.31,6.209,6.318,6.219,6.207,6.248,6.544,6.472
0.524288,8.283,7.811,8.096,7.877,7.964,7.863,7.867,7.959,8.136,7.911
2.097152,9.47,9.465,9.477,9.32,9.336,9.319,9.372,9.371,9.46,9.318
3.145728,10.176,9.756,10.244,9.367,9.987,9.39,10.279,9.889,10.025,9.815
3.670016,15.441,9.756,13.789,9.437,10.482,13.931,13.451,15.326,11.722,11.352
4.194304,20.677,24.003,21.067,19.53,20.806,21.095,17.456,22.364,22.644,22.133
5.24288,40.691,36.102,41.613,39.178,36.861,36.588,39.696,37.097,35.893,36.103
6.291456,46.706,46.271,50.382,46.275,47.125,45.817,46.072,47.444,47.275,49.242
8.388608,61.363,67.898,61.885,63.345,68.463,64.063,64.631,64.252,65.654,63.452
16.777216,91.292,102.01,95.107,100.217,90.214,108.348,87.083,104.836,88.44,90.588
33.554432,95.072,105.246,95.107,111.384,112.48,106.332,105.061,107.667,95.345,95.627
