buffer_size,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10
0.000512,1.341,1.337,1.337,1.337,1.338,1.338,1.337,1.338,1.339,1.338
0.008192,1.337,1.337,1.338,1.338,1.339,1.338,1.337,1.343,1.338,1.337
0.032768,1.553,1.343,1.71,1.352,1.363,1.339,1.341,1.355,1.629,1.707
0.04096,4.65,4.682,4.681,4.681,4.684,4.68,4.679,4.69,4.68,4.677
0.049152,4.679,4.678,4.688,4.686,4.681,4.681,4.68,4.692,4.679,4.676
0.065536,4.685,4.682,4.683,4.685,4.68,4.68,4.68,4.706,4.684,4.683
0.131072,4.709,4.678,4.685,4.68,4.685,4.687,4.684,4.684,4.69,4.679
2.097152,20.362,13.092,19.187,13.974,15.275,4.722,20.435,7.163,19.6,19.347
8.388608,24.373,13.092,23.011,15.441,15.275,4.722,24.029,7.163,21.246,19.347
16.777216,37.35,13.092,27.22,15.441,16.759,4.722,27.633,7.163,21.246,19.347
25.165824,47.927,13.092,42.811,15.441,26.984,4.722,47.667,7.163,21.246,19.347
29.360128,47.927,13.092,51.521,15.587,31.903,22.028,54.473,7.163,24.101,19.347
33.554432,96.706,34.97,71.947,32.961,41.555,89.623,65.124,71.283,71.927,61.571
