buffer_size,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10
1024,0,0,0,0,0,0,0,0,0,0
2048,0,0,0,0,0,0,0,0,0,0
4096,0,0,0,0,0,0,0,0,0,0
8192,0,0,0,0,0,0,0,0,0,0
16384,0,0,0,0,0,0,0,0,0,0
32768,0,0,0,0,0,0,0,0,0,0
65536,1,1,1,1,1,1,1,1,1,1
131072,1.5,1.6,1.6,1.6,1.6,1.6,1.6,1.5,1.5,1.6
262144,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8
524288,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.2,5.3
1048576,7,7,7,7,7,7,7,7,7,7
2097152,7.9,7.9,7.9,7.9,8,7.9,8,8,7.9,7.9
4194304,9.7,9.7,9.7,9.7,9.8,9.9,9.9,9.8,9.7,9.6
8388608,65.4,65.9,65.6,65.8,65.7,65.7,65.7,66.9,65.4,65.7
16777216,97.2,97.6,97.6,97.6,97.6,97.6,97.6,97.3,97.2,97.6
33554432,112.2,113.1,113.1,113,113,113,113.1,112.5,112.2,113.1
67108864,117.5,118.2,118.2,118.2,118.1,118.2,118.2,117.6,117.6,118.2
