buffer_size,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10
32768,0,0,0,0,0,0,0,0,0,0
65536,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
131072,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3
262144,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
524288,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4
1048576,5.7,5.7,5.9,5.7,5.7,5.7,5.6,5.7,5.8,5.6
2097152,14.4,14.7,14.7,14.1,14.4,13.7,14.3,14.4,14.8,14.4
4194304,19.1,19,19.3,18.7,19.1,18.1,19.1,20.2,19,18.7
8388608,23.2,22,24.1,24,23.8,24.7,23.8,28.6,25.3,23.5
16777216,38.6,42.1,26.1,31.4,39.2,43,31.7,36.1,40,34.1
33554432,67.1,66.3,28.3,62.9,73.2,71.8,73.1,66.5,67.5,69.6
67108864,87.2,83.2,70.2,71.9,91.9,92.2,92.2,87.2,87.7,89.9
