buffer_size,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10
32,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
64,3.5,3.6,3.5,3.6,3.5,3.6,3.5,3.6,3.5,3.6
128,4.2,3.6,4,3.6,4,3.6,3.5,3.6,3.5,3.6
256,5.7,5,5.8,5.2,5.8,5.9,4.8,5.3,5.9,5.8
512,7.4,7.4,7.4,7.6,7.5,7.4,7.4,7.4,7.4,7.5
1024,7.5,7.5,7.6,7.5,7.6,7.6,7.5,7.5,7.6,7.5
2048,7.5,7.6,7.6,7.6,7.6,7.6,7.5,7.6,7.6,7.5
4096,13.1,12.9,13.2,12.5,11.6,11.1,11.6,11.9,12.2,11.9
8192,52.4,52.1,51.3,47.6,52.7,52.8,51,53.5,52.4,52.9
16384,55,54.9,54.9,55.4,54.2,55.2,55.1,55.2,55,54.8
32768,55.4,55.1,54.8,55.2,54.6,55.2,54.9,54.9,54.6,55.1
