buffer_size,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10
32,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
64,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7
128,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7
256,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7
512,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8
1024,8.6,10.7,11.2,8.1,9.6,11.8,9.9,10.4,8.3,10.6
2048,21.8,21.2,21.4,21.6,21.8,21.6,21.6,21.5,21.9,22.2
4096,22.5,22.1,22.5,21.1,21.8,22.3,22.1,21.8,22.4,22.6
8192,23,22.9,22.4,22.9,23.1,22.9,22.5,23,23,22.8
16384,33.1,51.8,34.7,46.9,33.9,34.3,31.2,33.7,33.3,36.4
32768,74.3,79.8,81,85.7,81.9,81.1,79.3,82.6,74.6,76.8
